customer_id,borrower_age,employment_type,employment_tenure_years,residence_years,marital_status,dependents_count,monthly_gross_income,net_disposable_income,income_variability_flag,existing_emi_obligation,debt_to_income_ratio,avg_savings_balance,loan_amount,loan_tenure_months,interest_rate,emi_amount,loan_type,loan_vintage_months,current_dpd,past_delinquency_count,max_dpd_12m,on_time_payment_ratio,missed_payment_count,partial_payment_flag,auto_debit_bounce_count,days_since_last_payment,rolling_dpd_trend,payment_volatility_score,emi_stress_ratio,delinquency_acceleration,payment_regularity_score,bounce_frequency_ratio,recovery_lag_days,outstanding_balance_ratio,utilization_shock_flag,repayment_fatigue_index,exposure_concentration_score,behavioral_risk_score
VI53660932,61,Self_Employed,7.6,17.2,Single,1,62347.76,39418.51,1,8033.27,0.129,337690.75,927976.11,36,23.16,35999.13,Personal_Loan,53,0,2,30,0.73,0,0,1,71,0,0.109,0.913,0,0,1,0,0.562,0,0,0.433,0.551
QL76722480,57,Gig,10.1,4.1,Married,1,161769.98,100862.7,1,31558.92,0.195,80809.01,794778.64,12,17.73,72763.21,Credit_Card,4,15,4,90,0.92,0,1,0,45,5,0.358,0.721,-15,0,0,52,0.469,0,0,0.575,0.339
YH46615606,61,Salaried,1.4,22.5,Single,3,179765.96,95617.08,0,8221.79,0.046,340009.56,749002.54,48,19.34,22529.87,Credit_Card,33,60,1,60,0.89,0,0,1,49,20,0.487,0.236,60,0,1,28,0.722,0,0,0.821,0.576
HE48491549,61,Salaried,6.9,3.4,Single,1,145784.02,77959.52,0,12084.14,0.083,159512.88,669737.92,12,18.9,61688.8,Credit_Card,56,0,1,0,0.66,1,0,0,6,0,0.431,0.791,0,0.8,0,0,0.245,0,0.018,0.657,0.345
RN66592243,63,Self_Employed,9.3,10.7,Married,0,145528.1,71970.12,1,7761.66,0.053,40755.42,982080.53,48,21.3,30569.5,Personal_Loan,16,0,1,0,0.77,0,0,0,69,0,0.222,0.425,0,0,0,0,0.507,0,0,0.754,0.183
UA56358284,46,Gig,6.9,12.1,Single,4,65807.26,45144.67,1,49878.78,0.758,415980.35,221700.93,24,23.1,11622.22,Credit_Card,37,0,0,30,0.7,1,0,1,37,0,0.498,0.257,0,0,0.5,0,0.559,0,0.026,0.15,0.327
HQ58783137,47,Salaried,19.8,9,Single,1,131891.82,65392.05,0,36286.61,0.275,155469.26,309183.38,24,20.46,15805.7,Credit_Card,40,15,3,30,0.98,0,1,0,68,5,0.342,0.242,15,0,0,55,0.349,0,0,0.296,0.191
VM89998957,21,Self_Employed,14.6,6,Married,3,70782.65,44682.95,1,40876.7,0.577,299243.49,104645.41,36,16.9,3725.69,Personal_Loan,41,0,1,30,0.92,1,0,0,63,0,0.438,0.083,-15,0,0,0,0.65,0,0.024,0.265,0.134
KI64472634,33,Salaried,2.7,16.6,Married,3,90686.53,53625.28,0,46353.21,0.511,238126.87,421873.26,12,18.23,38723.53,Auto_Loan,50,0,0,0,0.89,0,0,0,40,0,0.209,0.722,-30,0,0,0,0.775,0,0,0.268,0.269
PI82860238,43,Salaried,19.3,17,Single,0,57069.73,29712.84,0,52934.12,0.928,199037.14,276990.93,24,20.65,14185.79,Auto_Loan,27,0,1,60,0.93,1,0,1,38,0,0.317,0.477,-30,0,0.5,0,0.487,0,0.036,0.226,0.347
TS48314454,55,Salaried,2,25,Married,3,66622.58,44182.54,0,53497.14,0.803,78312.4,137699.11,36,24.37,5429.12,Credit_Card,28,0,0,60,0.8,0,0,0,40,0,0.247,0.123,0,0,0,0,0.453,0,0,0.089,0.099
FT99676403,52,Gig,7.4,5.9,Single,0,31552.55,19351.96,1,50926.13,1.614,315444.61,348434.13,48,18.26,10282.65,Credit_Card,7,0,1,60,0.9,0,0,0,60,0,0.309,0.531,0,0,0,0,0.815,0,0,0.401,0.237
PF57142337,52,Gig,15.6,13.5,Married,0,120752.69,71639.02,1,55165.98,0.457,88225.16,558392.94,36,18.62,20361.34,Credit_Card,45,0,1,90,0.66,0,0,0,68,0,0.399,0.284,-30,0,0,0,0.499,0,0,0.274,0.185
EL76007758,23,Gig,1.4,16,Married,1,28804.57,18485.27,1,45059.73,1.564,115872.88,792277.26,24,14.72,38309.55,Personal_Loan,10,0,0,30,0.8,1,0,0,4,0,0.295,2.072,0,0.87,0,0,0.515,0,0.091,0.517,0.695
RY84944940,22,Salaried,8.3,22.9,Married,2,177110.87,102414.17,0,27142.31,0.153,228737.34,791639.53,60,10.41,16980.15,Personal_Loan,64,0,1,30,0.77,0,0,0,1,0,0.261,0.166,-15,0.97,0,0,0.968,1,0,0.87,0.115
PN36852384,31,Salaried,15,16.1,Single,2,108792.77,51444.34,0,48076.99,0.442,364760.64,873069.21,24,19.8,44350.3,Personal_Loan,15,15,2,30,0.93,0,0,0,40,5,0.071,0.862,-15,0,0,17,0.332,0,0,0.808,0.31
LN18443920,48,Self_Employed,2.8,7.3,Married,4,74735.48,34506.69,1,30653,0.41,233823.26,488332.04,60,18.02,12405.74,Credit_Card,53,0,0,90,0.77,0,0,0,65,0,0.408,0.36,-15,0,0,0,0.392,0,0,0.555,0.21
UE47941002,34,Gig,7,6.3,Single,1,51041.19,28704.44,1,38690.42,0.758,237582.97,329968.13,60,23.42,9381.75,Credit_Card,4,30,0,60,0.75,0,0,1,45,10,0.217,0.327,0,0,1,26,0.804,0,0,0.182,0.469
JY63941605,44,Salaried,7.8,6.3,Single,4,161362.86,84460.91,0,37753.46,0.234,425573.55,681894.44,48,12.92,18266.46,Credit_Card,65,0,0,90,0.67,0,1,0,25,0,0.26,0.216,0,0.17,0,0,0.74,0,0,0.351,0.13
SJ03516006,41,Salaried,12.4,12.6,Married,2,103316.83,64539.95,0,10565.1,0.102,488545.06,884188.96,36,24.54,34940.44,Credit_Card,28,0,0,60,0.97,0,0,0,46,0,0.096,0.541,0,0,0,0,0.298,0,0,0.436,0.186
FZ87447876,26,Salaried,2.2,22.7,Married,3,105857.05,67914.79,0,23265.66,0.22,318411.19,143434.76,24,15.11,6962.17,Auto_Loan,3,0,0,60,0.7,0,0,0,36,0,0.072,0.103,0,0,0,0,0.779,0,0,0.418,0.049
YF66783912,42,Salaried,7.1,16.3,Single,0,193358.52,113448.18,0,49053.86,0.254,491489.41,884661.77,12,19.7,81823.24,Auto_Loan,1,0,0,90,0.77,0,0,0,54,0,0.158,0.721,0,0,0,0,0.212,0,0,0.502,0.256
NB85232565,28,Salaried,13.5,11.9,Married,0,146145.23,95576.57,0,20846.59,0.143,256869.28,740270.13,60,14.28,17332.44,Credit_Card,68,0,1,60,0.94,0,0,0,29,0,0.179,0.181,-30,0.03,0,0,0.818,0,0,0.413,0.099
JB33562768,53,Salaried,4.4,21.9,Single,2,115148.34,70425.64,0,41411.22,0.36,168987.74,179127.99,24,10.07,8271.64,Personal_Loan,29,0,0,60,0.65,0,0,0,5,0,0.449,0.117,-30,0.83,0,0,0.645,0,0,0.187,0.147
PA29368556,45,Self_Employed,14.6,5.7,Married,0,175510.76,110072.2,1,8205.34,0.047,419166.52,269416.39,48,23.24,8670.66,Personal_Loan,7,0,1,60,0.95,0,1,0,23,0,0.135,0.079,0,0.23,0,0,0.792,0,0,0.629,0.057
EL97680867,29,Salaried,12.6,1.8,Single,3,118073.61,68856.02,0,50717.07,0.43,416185.87,553800.9,12,19.8,51248.08,Auto_Loan,19,0,1,30,0.97,0,0,0,21,0,0.327,0.744,-15,0.3,0,0,0.312,0,0,0.348,0.305
AP75648775,37,Self_Employed,9.8,5.7,Married,0,34121.05,19502.69,1,12904.24,0.378,194986.59,434192.3,48,12.49,11538.69,Personal_Loan,41,0,1,0,0.75,1,0,1,11,0,0.079,0.592,0,0.63,0.5,0,0.353,0,0.024,0.504,0.322
HZ40268269,31,Self_Employed,7.8,24,Single,1,120490.8,56005.22,1,51828.37,0.43,499955.6,856087.56,48,13.52,23188.25,Personal_Loan,11,0,2,90,0.81,0,0,0,59,0,0.064,0.414,-15,0,0,0,0.229,0,0,0.664,0.14
RL93000249,48,Self_Employed,17.4,0.7,Married,1,138705.98,96413.03,1,28300.96,0.204,129337.21,505909.26,48,14.25,13888.25,Auto_Loan,60,0,1,60,0.79,1,0,1,46,0,0.404,0.144,0,0,0.5,0,0.857,1,0.016,0.295,0.269
ME81508538,62,Self_Employed,3.8,21,Married,0,34484.86,17414.59,1,51207.07,1.485,412751.16,469298.77,12,22.72,44086.51,Credit_Card,61,0,1,0,0.78,0,0,0,27,0,0.252,2.532,-30,0.1,0,0,0.646,0,0,0.352,0.823
DQ39365002,36,Salaried,15.3,6.1,Married,1,32349.98,17592.59,0,25566.64,0.79,381038.77,65757.75,24,22.97,3442.97,Auto_Loan,42,0,0,0,0.66,0,0,0,18,0,0.248,0.196,-15,0.4,0,0,0.947,1,0,0.057,0.121
MF54534997,36,Gig,1.2,5.9,Married,2,189566.53,103971,1,6460.64,0.034,54837.71,554701.72,48,17.56,16167.1,Credit_Card,7,0,2,30,0.87,0,1,0,43,0,0.199,0.155,0,0,0,0,0.889,1,0,0.448,0.096
KU93910192,63,Salaried,19.2,23.3,Married,4,48974.81,32778.66,0,26883.24,0.549,21927.38,122331.6,48,14.04,3345.35,Credit_Card,60,0,1,30,0.86,1,0,1,10,0,0.366,0.102,-15,0.67,0.5,0,0.512,0,0.016,0.12,0.247
WT11200733,59,Self_Employed,2.9,16.3,Married,4,36899.3,19817.29,1,18333.23,0.497,238143.38,267993.41,48,13.01,7190.92,Personal_Loan,54,15,1,30,0.72,0,0,0,26,5,0.458,0.363,-15,0.13,0,59,0.791,0,0,0.162,0.257
OQ29939736,23,Self_Employed,1.8,11,Single,0,189452.77,107764.72,1,43214.7,0.228,491220.56,823746.22,12,23.48,77685.96,Auto_Loan,51,0,2,30,0.87,1,1,0,0,0,0.092,0.721,-30,1,0,0,0.981,1,0.019,0.418,0.239
UG85807696,32,Salaried,4.8,18.3,Single,2,132813.16,71559.14,0,54286.19,0.409,255737.88,893106.81,24,24.52,47451.65,Credit_Card,41,0,2,0,0.97,3,0,1,37,0,0.065,0.663,0,0,0.25,0,0.805,0,0.071,0.389,0.278
NJ16683074,25,Self_Employed,15.4,18.5,Single,4,130048.99,74302.27,1,17345.35,0.133,491576.19,410923.93,48,12.14,10849.47,Personal_Loan,44,0,2,90,0.8,1,0,0,70,0,0.376,0.146,-30,0,0,0,0.378,0,0.022,0.374,0.138
KX15818609,37,Salaried,19.9,4.1,Single,4,119541.03,62608.39,0,44838.08,0.375,449270.19,309103.78,60,20.6,8292.89,Personal_Loan,39,0,0,0,0.81,0,0,0,9,0,0.464,0.132,-15,0.7,0,0,0.715,0,0,0.305,0.156
PI69352409,58,Self_Employed,17.5,18.6,Married,0,194781.58,123125.65,1,35594.32,0.183,381528.94,878620.01,48,12.45,23332.04,Auto_Loan,25,0,1,60,0.96,0,0,0,61,0,0.149,0.189,-15,0,0,0,0.54,0,0,0.816,0.094
FG02140462,39,Salaried,15.6,7.1,Single,2,191434.33,128944.48,0,13533.44,0.071,156924.9,509189.94,36,18.77,18605.72,Credit_Card,51,0,1,90,0.78,0,0,0,55,0,0.232,0.144,-30,0,0,0,0.413,0,0,0.351,0.101
FJ39821800,40,Salaried,14.2,15.1,Married,2,172499.89,107089.7,0,17579.73,0.102,121028.25,280146.94,24,15.06,13591.37,Credit_Card,63,15,1,90,0.74,0,0,0,65,5,0.215,0.127,-15,0,0,17,0.306,0,0,0.203,0.125
FB85983526,64,Salaried,5.2,9.5,Married,4,163193.7,99519.66,0,3226.2,0.02,418207.85,216774.52,60,17.13,5402.57,Auto_Loan,5,0,0,0,0.75,1,0,0,54,0,0.134,0.054,-15,0,0,0,0.649,0,0.167,0.317,0.05
KI70838192,30,Salaried,13.6,3.3,Single,3,113742.41,57715.21,0,40460.41,0.356,294516.9,859767.74,24,17.27,42620.49,Personal_Loan,24,0,0,90,0.67,0,0,2,31,0,0.487,0.738,0,0,2,0,0.259,0,0,0.518,0.843
LM64838803,63,Gig,14,1.4,Single,0,172798.26,111271.42,1,30997.07,0.179,54506.91,965766.8,12,18.95,88978.72,Credit_Card,52,15,1,60,0.88,0,0,0,51,5,0.338,0.8,15,0,0,48,0.579,0,0,0.899,0.358
BC22951149,45,Self_Employed,9.5,22.5,Married,4,164554.71,98536.08,1,31252.55,0.19,366488.62,201909.05,12,20.02,18705.68,Credit_Card,23,60,2,60,0.72,1,1,1,41,20,0.309,0.19,30,0,0.5,17,0.494,0,0.042,0.129,0.393
FQ21817540,29,Salaried,5.9,2.6,Single,1,160614.49,92254,0,16017.27,0.1,179618.7,201481.22,36,24.17,7922.68,Personal_Loan,57,0,0,60,0.74,0,0,1,67,0,0.159,0.086,-15,0,1,0,0.759,0,0,0.131,0.316
NK59945748,40,Salaried,16.6,18.2,Married,2,158400.54,80521.37,0,20665.48,0.13,419189.61,535410.7,48,18.03,15736.08,Credit_Card,16,0,0,90,0.68,2,0,0,47,0,0.077,0.195,-15,0,0,0,0.677,0,0.118,0.548,0.078
GK23149789,47,Self_Employed,11,12.7,Single,2,192845.72,101751.22,1,11450.75,0.059,116022.3,674947.27,12,21.94,63151.78,Credit_Card,21,0,1,30,0.67,1,0,0,21,0,0.426,0.621,0,0.3,0,0,0.447,0,0.045,0.44,0.293
EF23557001,40,Salaried,1.5,20.8,Single,2,140564.61,89544.23,0,57747.41,0.411,266054.89,709720.69,48,25.13,23583.79,Credit_Card,66,15,1,90,0.81,0,0,0,23,5,0.489,0.263,-15,0.23,0,48,0.792,0,0,0.348,0.234
GW11148407,29,Salaried,5.8,24.7,Married,2,125240.51,79342.05,0,59835.08,0.478,59216.61,673236.53,36,21.42,25509.64,Auto_Loan,54,0,1,60,0.83,0,0,0,12,0,0.077,0.322,0,0.6,0,0,0.683,0,0,0.569,0.116
CE81070728,25,Salaried,3.1,11.8,Married,2,108879.21,53212.47,0,28808.26,0.265,453059.99,436585.76,60,25.41,12919.52,Personal_Loan,24,30,2,30,0.76,2,0,0,44,10,0.28,0.243,30,0,0,15,0.556,0,0.08,0.269,0.21
HD33744347,21,Salaried,16.8,16.8,Married,3,117319.28,53051.01,0,55141.66,0.47,78100.98,193809.28,24,25.19,10362.38,Personal_Loan,8,0,2,90,0.88,1,0,0,14,0,0.339,0.195,-15,0.53,0,0,0.561,0,0.111,0.183,0.143
PQ62948889,37,Salaried,18.8,13.9,Single,1,162078.69,76054.45,0,43537.23,0.269,231383.23,648532.24,36,12.56,21714.42,Credit_Card,37,0,0,30,0.84,0,0,0,23,0,0.24,0.286,-30,0.23,0,0,0.751,0,0,0.522,0.146
FP38891469,64,Salaried,12.8,15.1,Single,1,55036.14,33115.06,0,55345.1,1.006,93708.86,459499.67,60,14.76,10873.66,Personal_Loan,60,0,0,60,0.94,3,0,0,48,0,0.542,0.328,-30,0,0,0,0.982,1,0.049,0.238,0.234
LI60607232,50,Salaried,15.8,13.2,Married,3,31205.54,19517.52,0,47729.71,1.53,43774.94,115299.29,48,17.84,3377.28,Personal_Loan,54,0,1,0,0.88,1,0,0,11,0,0.521,0.173,-15,0.63,0,0,0.551,0,0.018,0.108,0.182
WD65084048,43,Gig,18.1,1.6,Married,0,197589.77,134929.76,1,9198.35,0.047,432600.75,809795.44,48,21.75,25403.7,Personal_Loan,1,30,1,30,0.67,3,0,2,54,10,0.418,0.188,0,0,0.5,58,0.965,1,1.5,0.633,0.353
WW29262680,27,Salaried,8.8,7,Married,2,121065.05,79293.5,0,24012.99,0.198,198761.66,316613.46,60,17.75,7996.9,Auto_Loan,1,0,0,30,0.8,1,0,1,15,0,0.165,0.101,0,0.5,0.5,0,0.345,0,0.5,0.196,0.197
HM35477572,58,Self_Employed,3,10.2,Married,4,180776.59,117656.11,1,37971.78,0.21,67894.09,539630.62,12,12.37,48038.98,Credit_Card,45,0,0,90,0.67,0,0,0,36,0,0.085,0.408,0,0,0,0,0.31,0,0,0.437,0.144
KA23908392,27,Salaried,19.8,4.9,Married,3,131552.18,70892.37,0,28002.21,0.213,11588.1,695894.84,24,23.25,36532.74,Credit_Card,56,15,0,15,0.99,0,0,0,36,5,0.096,0.515,0,0,0,48,0.777,0,0,0.338,0.212
AJ89970485,27,Gig,8.7,13.3,Married,3,176704.87,117633.28,1,14023.58,0.079,128159.08,364136.21,24,15.37,17719.82,Auto_Loan,3,0,2,0,0.92,0,0,1,60,0,0.057,0.151,-15,0,1,0,0.585,0,0,0.29,0.31
HX49986161,50,Salaried,8.7,11,Married,3,58181.39,38583.11,0,38366.04,0.659,423526.78,773518.16,60,20.53,20722.28,Personal_Loan,3,0,0,30,0.85,1,0,1,70,0,0.259,0.537,0,0,0.5,0,0.586,0,0.25,0.49,0.351
AD11029342,29,Salaried,9.5,13.2,Married,1,66071.21,46023.35,0,51470.03,0.779,374614.13,678128.49,24,19.96,34500.64,Personal_Loan,45,0,0,60,0.75,2,0,0,11,0,0.499,0.75,-30,0.63,0,0,0.775,0,0.043,0.587,0.35
NM85369474,51,Self_Employed,8.8,10.2,Married,4,34628.13,15761.22,1,48285.83,1.394,348085.34,253258.54,36,22.58,9748.21,Auto_Loan,38,0,2,90,0.94,1,0,0,65,0,0.488,0.618,0,0,0,0,0.665,0,0.026,0.438,0.307
FJ12901568,56,Gig,4.8,24.3,Married,1,107263.85,73846.01,1,38585.18,0.36,216582.91,227482.44,24,23.3,11947.92,Credit_Card,37,0,1,30,0.98,2,0,0,52,0,0.48,0.162,-15,0,0,0,0.968,1,0.053,0.205,0.169
IQ59464998,59,Salaried,1,24.1,Married,0,45063.77,22520.89,0,5105.91,0.113,374325.19,446132.97,48,11.59,11658.78,Credit_Card,69,0,0,60,0.74,1,0,0,21,0,0.24,0.518,-30,0.3,0,0,0.289,0,0.014,0.316,0.215
QC10699850,37,Salaried,11.4,6.7,Single,2,166412.61,85067.43,0,17098.16,0.103,498130.59,915998.55,12,17.38,83708.7,Auto_Loan,41,0,1,0,0.71,0,0,0,17,0,0.46,0.984,-15,0.43,0,0,0.926,1,0,0.575,0.41
DH66314010,62,Salaried,15.3,4.7,Married,1,167124.26,96173.46,0,12753.66,0.076,492824.13,922859.7,36,11.13,30270.09,Credit_Card,7,0,2,30,0.73,2,0,0,56,0,0.481,0.315,0,0,0,0,0.609,0,0.25,0.841,0.215
JT17074276,44,Salaried,0.7,4.4,Single,0,42460.36,23843.68,0,19935.11,0.469,461727.72,963820.6,60,19.85,25454.97,Personal_Loan,9,0,2,90,0.92,1,0,0,1,0,0.227,1.068,-15,0.97,0,0,0.268,0,0.1,0.69,0.377
GL23714045,27,Self_Employed,17.3,3.9,Married,3,25276.87,13871.61,1,11087.54,0.439,376845.62,172715.6,12,23.27,16270.96,Credit_Card,69,0,0,30,0.7,1,1,2,46,0,0.453,1.173,-15,0,1,0,0.834,0,0.014,0.223,0.715
CB74518144,29,Salaried,9.4,5.7,Single,1,60067.32,30401.07,0,52382.91,0.872,226175.68,769502.14,24,11.07,35889.84,Auto_Loan,65,30,1,90,0.89,0,0,0,30,10,0.42,1.181,30,0,0,8,0.375,0,0,0.579,0.526
RU95166034,59,Self_Employed,8.6,10.4,Single,1,52713.69,30611.58,1,28171.2,0.534,321270.7,975113.69,36,21.43,36953.11,Personal_Loan,13,15,2,90,0.83,1,0,0,14,5,0.537,1.207,-15,0.53,0,21,0.451,0,0.071,0.781,0.53
RB85699037,43,Self_Employed,11.7,8,Married,1,121620.61,59114.32,1,31331.91,0.258,239163.31,765251.44,36,11.71,25311.43,Personal_Loan,59,0,1,30,0.68,0,1,2,65,0,0.346,0.428,-15,0,2,0,0.297,0,0,0.555,0.715
UN48786511,28,Gig,15.9,12.1,Married,2,195576.32,129007.93,1,22345.59,0.114,476033.13,71615.64,12,11.04,6330.85,Credit_Card,23,0,3,60,0.83,2,0,0,45,0,0.263,0.049,-30,0,0,0,0.923,1,0.083,0.048,0.08
BM50025433,61,Self_Employed,5,18.3,Single,3,171151.69,119586.1,1,25351.01,0.148,483225.58,884992.27,60,24.4,25665.32,Personal_Loan,64,0,1,30,0.79,0,0,1,30,0,0.145,0.215,-15,0,1,0,0.768,0,0,0.471,0.351
RA99071527,39,Self_Employed,16.8,12.5,Married,0,189509.95,124720.26,1,23641.3,0.125,55996.61,111075.02,48,15.2,3102.57,Auto_Loan,60,0,2,90,0.68,1,0,3,65,0,0.507,0.025,-30,0,1.5,0,0.451,0,0.016,0.069,0.509
TJ00106011,26,Self_Employed,17.7,21.2,Single,1,181330,85900.62,1,24194.98,0.133,12691.04,565692.39,24,24.49,30047.3,Credit_Card,52,15,1,60,0.71,0,0,0,7,5,0.169,0.35,15,0.77,0,27,0.454,0,0,0.6,0.181
KL58470626,62,Self_Employed,17,1.8,Single,0,44915.62,28040.45,1,33374.03,0.743,180427.21,80026.54,24,22.56,4173.79,Personal_Loan,59,0,0,30,0.66,0,0,1,34,0,0.492,0.149,-30,0,1,0,0.363,0,0,0.359,0.418
OU90499100,40,Self_Employed,6.4,8.7,Married,3,177096.69,81733.3,1,55233.24,0.312,459553.48,991908.58,36,12.47,33168.67,Credit_Card,2,0,0,90,0.93,1,0,0,15,0,0.172,0.406,-15,0.5,0,0,0.864,1,0.333,0.594,0.165
DD80351152,32,Self_Employed,3.8,14.4,Single,0,82299.13,56660.5,1,29393.21,0.357,321948.75,63990.97,12,15.91,5803.23,Credit_Card,44,0,0,0,0.81,0,0,0,71,0,0.378,0.102,-30,0,0,0,0.852,1,0,0.102,0.125
GG14471542,24,Self_Employed,1,22.7,Married,0,25479.04,12543.77,1,22688.04,0.89,156347.33,374931.44,60,14.71,8862.62,Credit_Card,70,0,1,30,0.76,1,1,0,70,0,0.065,0.707,0,0,0,0,0.41,0,0.014,0.268,0.228
RL83905336,39,Salaried,0.9,12,Single,1,109743.1,72695.09,0,58774.09,0.536,405530.25,333199.5,36,21.46,12632.15,Credit_Card,65,30,3,60,0.73,1,0,0,48,10,0.53,0.174,0,0,0,27,0.216,0,0.015,0.309,0.251
XK20824505,48,Salaried,12.5,7,Married,0,69326.76,44251.37,0,25373.29,0.366,20886.94,218267.97,24,24.27,11569.5,Auto_Loan,46,0,2,60,0.94,0,0,1,68,0,0.273,0.261,-30,0,1,0,0.752,0,0,0.16,0.397
YC36803035,30,Salaried,10.8,2.6,Single,3,91646.08,63380.04,0,5683.81,0.062,121947.47,365791.33,60,15.65,8827.45,Personal_Loan,67,30,1,90,0.76,0,0,1,38,10,0.051,0.139,30,0,1,27,0.237,0,0,0.753,0.371
SK76076786,29,Self_Employed,7.3,20.5,Single,0,79607.19,39222.28,1,45420.21,0.571,285996.55,552905.39,48,11.71,14481.52,Credit_Card,40,0,1,30,0.78,1,0,1,48,0,0.44,0.369,-15,0,0.5,0,0.298,0,0.024,0.516,0.346
QI15250223,62,Gig,5.3,23.1,Single,3,191724.44,102994.27,1,16936.33,0.088,136059.92,57041.69,24,15,2765.76,Credit_Card,64,0,2,0,0.84,0,0,0,22,0,0.434,0.027,-30,0.27,0,0,0.394,0,0,0.187,0.117
NO04994963,41,Salaried,16.3,13.5,Single,2,184928.33,87915.58,0,26543.07,0.144,238193.41,998418.84,48,14.2,27383.54,Auto_Loan,22,0,0,90,0.8,0,0,0,26,0,0.489,0.311,-15,0.13,0,0,0.614,0,0,0.651,0.216
VL25006701,43,Salaried,15.9,23.3,Married,2,64388.22,38206.04,0,55633.68,0.864,124131.55,522635.79,36,12.42,17464.01,Auto_Loan,17,0,0,60,0.69,1,0,0,17,0,0.312,0.457,-30,0.43,0,0,0.839,0,0.056,0.566,0.215
CW26507744,56,Salaried,0.8,12.8,Married,0,86910.5,50155.49,0,43391.29,0.499,23860.36,443808.07,60,24.21,12821.61,Credit_Card,39,0,1,30,0.95,1,0,0,65,0,0.1,0.256,-15,0,0,0,0.469,0,0.025,0.354,0.102
RL72190330,50,Salaried,15.2,21.6,Married,4,146621.19,72488.75,0,41699.13,0.284,482613.06,527434.68,12,15.26,47670.1,Personal_Loan,53,0,1,60,0.66,1,0,1,50,0,0.396,0.658,-30,0,0.5,0,0.301,0,0.019,0.723,0.421
NN75787740,51,Salaried,13.6,15.8,Married,3,89386.5,44819.22,0,34292.52,0.384,26173.16,837323.93,48,22.36,26544.71,Credit_Card,26,15,1,60,0.74,1,0,3,28,5,0.374,0.592,-15,0.07,1.5,58,0.529,0,0.037,0.598,0.679
